Brand Code,Brand Description,Status
ORN,ORGANIC EDAMAME,ACTIVE
ORI,ORION,ACTIVE
ORO,OROCAN,ACTIVE
OST,OSTER,ACTIVE
OTA,OTAFUKU,ACTIVE
OTT,OTTOGI,ACTIVE
OUH,OUR HOME,ACTIVE
OUT,OUTSET,ACTIVE
OVL,OVALTINE,ACTIVE
OZK,OZAKI,ACTIVE
OZE,OZEKI,ACTIVE
P&T,P&T ROYAL WARE,ACTIVE
PBY,PACIFIC BAY,ACTIVE
PCF,PACIFIC FARMS,ACTIVE
PME,PACIFIC MOON ENTERPRISES,ACTIVE
PLW,PALAWENO BREWERY,ACTIVE
PAL,PALLO,ACTIVE
PAM,PAM,ACTIVE
PMP,PAMPAS,ACTIVE
PNS,PANASONIC,ACTIVE
PND,PANDA,ACTIVE
PNM,PANORAMA,ACTIVE
PAN,PANTAI,ACTIVE
PNT,PANTHER,ACTIVE
PAE,PAO EXPRESS,ACTIVE
PAP,PAPA,ACTIVE
PAA,PAPA ALFREDO,ACTIVE
PRG,PARMEGIANO REGGIANO,ACTIVE
PAR,PARTNERS,ACTIVE
PSB,PASABACHE,ACTIVE
PAS,PASCUAL,ACTIVE
PLO,PASTA LORI,ACTIVE
PAT,PATEL,ACTIVE
PTL,PATELA,ACTIVE
PTN,PATRON,ACTIVE
PLN,PAULANEER,ACTIVE
PCB,PCB CREATION,ACTIVE
PEA,PEACOCK,ACTIVE
PRV,PEARL RIVER,ACTIVE
PDR,PEDRO,ACTIVE
PEO,PEOTRACO,ACTIVE
PEP,PEPSI,ACTIVE
PER,PERIS,ACTIVE
PRN,PERONI,ACTIVE
PIR,PERRIER,ACTIVE
PTR,PETER,ACTIVE
PFE,PFEUFFER'S,ACTIVE
PFZ,PFIZER,ACTIVE
PHB,PHILIPPINE BRAND,ACTIVE
PHI,PHILIPS,ACTIVE
PNX,PHOENIX,ACTIVE
PHO,PHOTTIX,ACTIVE
PCL,PIACELLI,ACTIVE
PIC,PICONERA,ACTIVE
717,PIER 717,ACTIVE
PIL,PILOT,ACTIVE
PIM,PIMM'S,ACTIVE
PNC,PINCHU,ACTIVE
PBC,PINOT BLANC,ACTIVE
PIO,PIONEER,ACTIVE
PLE,PLEDGE,ACTIVE
PDQ,POGGIO DELLA QUERCIA,ACTIVE
POL,POLYSCIENCE,ACTIVE
POP,POPPEROO,ACTIVE
PST,POST,ACTIVE
POS,POSTEK,ACTIVE
POT,POTCHI,ACTIVE
PRT,PRACTICA,ACTIVE
PMR,PREMIER,ACTIVE
PMM,PREMIER MILLENIUM,ACTIVE
PRE,PREMIUM,ACTIVE
PMS,PRIMA TASTE,ACTIVE
POE,PRIME ORGANICS EMPEROR,ACTIVE
PRM,PRIMERA,ACTIVE
PRI,PRIMO,ACTIVE
PRC,PROCOOK,ACTIVE
PUJ,PUJADAS,ACTIVE
PUR,PURATOS,ACTIVE
P&B,PURE & BEST,ACTIVE
P&P,PURE & PREMIUM,ACTIVE
PRA,PURE RAY,ACTIVE
PUV,PURE VALUE,ACTIVE
PRF,PUREFOODS,ACTIVE
PVC,PVC,ACTIVE
PYR,PYREX,ACTIVE
QPA,Q PACK,ACTIVE
QIQ,QI QUAN,ACTIVE
QKR,QUAKER,ACTIVE
QRT,QUARTET,ACTIVE
QUE,QUEENSLAND,ACTIVE
QUS,QUES-O,ACTIVE
RLP,R. LAPIDS,ACTIVE
RBT,RABBIT,ACTIVE
RAM,RAM,ACTIVE
RMO,RAMBO,ACTIVE
RMR,RAMIRANA,ACTIVE
RTW,RATTLEWARE,ACTIVE
RVN,RAVEN,ACTIVE
RCR,RCR,ACTIVE
REA,REAL,ACTIVE
REF,REAL FORMAGGI,ACTIVE
RSC,RECESSION COFFEE,ACTIVE
RED,RED SEAL,ACTIVE
RDS,RED STAR,ACTIVE
RET,RED TULIP,ACTIVE
RSE,REESE'S,ACTIVE
REN,REGENCY NATURALS,ACTIVE
RPU,REIPU,ACTIVE
RNO,RENO,ACTIVE
RES,RESTOSERVE,ACTIVE
RVL,REVOL,ACTIVE
REW,REWRITE,ACTIVE
RHE,RHEA,ACTIVE
RIC,RICOA,ACTIVE
RCV,RICOVIS,ACTIVE
RIG,RIGHTCARE,ACTIVE
RNI,RINNAI,ACTIVE
RIS,RISTORIS,ACTIVE
RTZ,RITZ,ACTIVE
RMB,RM BOX CENTER,ACTIVE
RNS,RNSC,ACTIVE
RRG,ROBERT GREEN,ACTIVE
RBF,ROBINA FARMS,ACTIVE
RBO,ROBO,ACTIVE
RBC,ROBOT COUPE,ACTIVE
RSR,ROCK STAR,ACTIVE
RFE,ROCKET FROG ENTERPRISE,ACTIVE
RCK,ROCKSTONE,ACTIVE
RSS,ROGERS SIAMESE,ACTIVE
RUM,ROGNONI UMBERTO,ACTIVE
RLG,ROLD GOLD,ACTIVE
ROL,ROLLER GRILL,ACTIVE
RON,RONGXIN,ACTIVE
ROS,ROSA,ACTIVE
RSW,ROSEWOOD,ACTIVE
RTE,ROSSETTE,ACTIVE
RST,ROSSETTI,ACTIVE
RTR,ROTOR,ACTIVE
ROG,ROUGIE,ACTIVE
ROA,ROW ANN,ACTIVE
ROY,ROYAL,ACTIVE
RAC,ROYAL ACE,ACTIVE
RAY,ROYAL ADDERLEY,ACTIVE
ROC,ROYAL CROWN,ACTIVE
RCC,ROYAL CROWN COLA,ACTIVE
RYI,ROYAL INGREDIENTS,ACTIVE
RNW,ROYAL NORWEGIAN,ACTIVE
RPN,ROYAL PORCELAIN,ACTIVE
RYL,ROYAL TERN,ACTIVE
RYT,ROYAL TRU,ACTIVE
ROV,ROYAL VICTORIA,ACTIVE
RCF,ROYALE CHEF,ACTIVE
RYU,ROYU,ACTIVE
RP0,RP,ACTIVE
RBR,RUBBERMAID,ACTIVE
RYS,RUEY SHING,ACTIVE
RFL,RUFFLES,ACTIVE
RUS,RUSSIAN STANDARD,ACTIVE
RYJ,RYJ,ACTIVE
S&B,S&B,ACTIVE
S&R,S&R,ACTIVE
S&W,S&W,ACTIVE
SAB,SABA,ACTIVE
SAT,SABAROT,ACTIVE
SFW,SAFE WEAR,ACTIVE
SAJ,SAJO,ACTIVE
SKR,SAKURA,ACTIVE
SLT,SALAD TIME,ACTIVE
SDC,SALINA DE CERVIA,ACTIVE
SLK,SALT'S KITCHEN,ACTIVE
SKW,SAMKWANG,ACTIVE
SSG,SAMSUNG,ACTIVE
SAM,SAN MARZANO,ACTIVE
SMG,SAN MIGUEL,ACTIVE
SNG,SAN NENG BAKEWARE,ACTIVE
SPL,SAN PELLEGRINO,ACTIVE
SRM,SAN REMO,ACTIVE
SCO,SANI COOK,ACTIVE
SAN,SANKO,ACTIVE
SNF,SANOFI,ACTIVE
SNT,SANTINI,ACTIVE
SAD,SANTIS DELICATESSEN,ACTIVE
STS,SANTOS,ACTIVE
SNU,SANUS,ACTIVE
SAP,SAPPORO,ACTIVE
SRV,SARAVIA,ACTIVE
SRS,SARSI,ACTIVE
SCM,SAUCE MASTER,ACTIVE
SCZ,SCHOTT ZWIESEL,ACTIVE
SCW,SCHWEPPES,ACTIVE
SBE,SCOTCH BRITE,ACTIVE
SCH,SCOUT'S HONOR,ACTIVE
SEB,SEA BASKET,ACTIVE
SGT,SEAGATE,ACTIVE
SEA,SEAGULL,ACTIVE
SRA,SEARA,ACTIVE
SEG,SEGATA,ACTIVE
SEL,SELBOURNE,ACTIVE
SLC,SELECTA,ACTIVE
SMP,SEMPIO,ACTIVE
SEJ,SEN JU,ACTIVE
SDM,SEÑORIO DE MONTANERA,ACTIVE
SEN,SENTRY SAFE,ACTIVE
SRG,SERGEANT,ACTIVE
SVR,SERVER,ACTIVE
SVS,SEVENSEA,ACTIVE
SVL,SEVILLA,ACTIVE
SEV,SEVILLE CLASSICS,ACTIVE
SHN,SHAN,ACTIVE
SHX,SHAO XING,ACTIVE
SHR,SHARP,ACTIVE
SHL,SHIELD,ACTIVE
SHT,SHIMAMOTO,ACTIVE
SHI,SHIMAYA,ACTIVE
SHK,SHIRAKIKU,ACTIVE
SFC,SHOES FOR CREWS,ACTIVE
SHW,SHOWA,ACTIVE
SHU,SHUNTA,ACTIVE
SCY,SICOLY,ACTIVE
SLM,SILIKOMART,ACTIVE
SIL,SILK,ACTIVE
SLP,SILPAT,ACTIVE
SVN,SILVANO,ACTIVE
SVC,SILVER CREEK,ACTIVE
SSW,SILVER SWAN,ACTIVE
SIM,SIMPLOT,ACTIVE
SCR,SIMPLY CEREAL,ACTIVE
SIG,SINGANE,ACTIVE
SIN,SINMAG,ACTIVE
SGL,SINOGLASS,ACTIVE
SIF,SIOMAI FACTORY,ACTIVE
SIP,SIPAHH,ACTIVE
SIT,SITSIRYA,ACTIVE
SKP,SKIPPY,ACTIVE
SLQ,SLIQUE,ACTIVE
SMB,SM BONUS,ACTIVE
SMS,SM SUPERMALLS,ACTIVE
SMR,SMART,ACTIVE
SMA,SMART COOK,ACTIVE
SMT,SMART SENSOR,ACTIVE
SMY,SMARTY,ACTIVE
SJS,SMOKING J'S,ACTIVE
SMC,SMUCKER'S,ACTIVE
SRF,SNAKE RIVER FARMS,ACTIVE
SNM,SNOWMAN,ACTIVE
SFT,SOFTEE,ACTIVE
SOL,SOLAREC,ACTIVE
SCS,SOLECASA,ACTIVE
SMW,SOMEWARE,ACTIVE
SNC,SONIC,ACTIVE
SON,SONIFER,ACTIVE
SOO,SONOS,ACTIVE
SOS,SOSA,ACTIVE
SOA,SOUND ACOUSTICS,ACTIVE
SOK,SOY KINGDOM,ACTIVE
SFR,SOYFRESH,ACTIVE
SPM,SPAM,ACTIVE
SAR,SPAR,ACTIVE
SPK,SPARK-L,ACTIVE
SPA,SPARKLE,ACTIVE
SPT,SPARTTA,ACTIVE
SPY,SPEEDY,ACTIVE
SPI,SPICES OF INDIA,ACTIVE
SRL,SPIRAL,ACTIVE
SPD,SPLENDA,ACTIVE
S4U,SQUEEZED 4 U,ACTIVE
ADR,ST. ANDREWS,ACTIVE
STH,ST. HELEN,ACTIVE
STD,STAEDLER,ACTIVE
SFF,STAFF,ACTIVE
S&S,STANFORD & SHAW,ACTIVE
STN,STANLEY,ACTIVE
S&P,STAPLE & PERKS,ACTIVE
STR,STAR,ACTIVE
STP,STAR PRODUCTS,ACTIVE
SRN,STAR RANCH,ACTIVE
STF,STARFOOD,ACTIVE
STA,STARK,ACTIVE
SRR,STARR,ACTIVE
STL,STEELITE,ACTIVE
SKI,STEKI,ACTIVE
SLL,STELLA,ACTIVE
STG,STERILGARDA,ACTIVE
SRT,STERILITE,ACTIVE
STE,STIEBEL ELTRON,ACTIVE
STI,STIL,ACTIVE
STK,STOCKEL,ACTIVE
STO,STOLICHNAYA,ACTIVE
STZ,STOLZLE,ACTIVE
SUC,SUCRAMIA,ACTIVE
SGH,SUGARHOUSE,ACTIVE
SUK,SUKINA,ACTIVE
SUQ,SUN QUICK,ACTIVE
SBM,SUNBEAM,ACTIVE
SBR,SUNBURST,ACTIVE
SFL,SUNFLOWER,ACTIVE
SNK,SUNKIST,ACTIVE
SNL,SUNLIGHT,ACTIVE
SUM,SUNMAID,ACTIVE
SMN,SUNMON,ACTIVE
SNX,SUNNEX,ACTIVE
SNY,SUNNY,ACTIVE
SNS,SUNNY SELECT,ACTIVE
SUN,SUNNYSIDE,ACTIVE
SNW,SUNNYWARE,ACTIVE
SSR,SUNSTAR,ACTIVE
STY,SUNTORY,ACTIVE
SCA,SUPER CANDIES,ACTIVE
SYK,SUPER YUKO,ACTIVE
SCF,SUPERCHEF,ACTIVE
SPR,SUPERIOR,ACTIVE
SUL,SUPERIOR LEROY,ACTIVE
STX,SUPERSTIXX,ACTIVE
SPC,SUPREME CHEF,ACTIVE
SBY,SURE BUY,ACTIVE
SUR,SURESTEP,ACTIVE
SUI,SURIOL,ACTIVE
SUB,SUSANA BALBO,ACTIVE
SVE,SVEBA DAHLEN,ACTIVE
SWB,SWEET BABY RAY'S,ACTIVE
SWT,SWEETLINK,ACTIVE
SWF,SWIFT,ACTIVE
SAW,SWING-A-WAY,ACTIVE
SWI,SWISSMAR,ACTIVE
SXT,SXT,ACTIVE
SAC,SYNC AND CHARGE,ACTIVE
TAB,TABASCO,ACTIVE
TBC,TABLECRAFT,ACTIVE
TAH,TAI HUA,ACTIVE
TWN,TAIWAN,ACTIVE
TWA,TAIWAN ARIAKE,ACTIVE
TAK,TAKUMI,ACTIVE
TAM,TAMAIOASA,ACTIVE
TMI,TAMI,ACTIVE
TAN,TANCHUNGHO,ACTIVE
TDY,TANDUAY,ACTIVE
TAT,TANITA,ACTIVE
TQY,TANQUERAY,ACTIVE
TAP,TAPERAN,ACTIVE
TRZ,TARZAN,ACTIVE
TSN,TASTE NIRVANA,ACTIVE
TAU,TAURUS,ACTIVE
TAY,TAYLOR,ACTIVE
TCL,TCL,ACTIVE
TGM,TEAN'S GOURMET,ACTIVE
TEC,TECO,ACTIVE
TMG,TEHMAG,ACTIVE
TNT,TEN REN TEA,ACTIVE
TEP,TEPPEN,ACTIVE
TSC,TESCO,ACTIVE
TES,TESCOMA,ACTIVE
TSO,TESTO,ACTIVE
THR,THAI HERITAGE,ACTIVE
TBF,THE BEEF,ACTIVE
TPC,THE PERFECT CHOICE,ACTIVE
TVC,THE VANILLA COMPANY,ACTIVE
THO,THOR,ACTIVE
TTR,THREE TREE,ACTIVE
TFY,TIFFANY'S,ACTIVE
TIG,TIGER,ACTIVE
THW,TIONG HWA,ACTIVE
TIP,TIPAROS,ACTIVE
TOA,TOASTMASTER,ACTIVE
TOB,TOBI,ACTIVE
TMY,TOMY,ACTIVE
TKT,TONKITA,ACTIVE
TON,TONS,ACTIVE
TOP,TOP 1 CHOICE,ACTIVE
TCF,TOP CHEF DESSERT SELECTION,ACTIVE
TNI,TORANI,ACTIVE
TOR,TORCHIO ANTICO,ACTIVE
TOS,TOSKA,ACTIVE
TTT,TOSTITOS,ACTIVE
TOT,TOTO,ACTIVE
TOM,TOUCH MAMA,ACTIVE
TOU,TOUCHSTONE CLASSIC,ACTIVE
TOV,TOVOLO,ACTIVE
TPL,TP-LINK,ACTIVE
TCH,TRACHANG,ACTIVE
TRA,TRAMONTINA,ACTIVE
TRN,TRANSPHIL,ACTIVE
TSL,TRE STELLE,ACTIVE
TRF,TRENTON FARMS,ACTIVE
TBD,TRIBID,ACTIVE
TGB,TRIGO BAKESHOP,ACTIVE
TRO,TROLLI,ACTIVE
TTM,TRU TEMP,ACTIVE
TRD,TRUDEAU,ACTIVE
TRE,TRUE,ACTIVE
TRL,TRUE LIVING,ACTIVE
TRU,TRUST,ACTIVE
TDC,TSAI DYNAMIC,ACTIVE
TST,TSINGTAO,ACTIVE
TUP,TULIP,ACTIVE
TLZ,TULZ,ACTIVE
TUW,TURNING WHEELS,ACTIVE
TUS,TUSCAN FIELDS,ACTIVE
TWI,TWININGS,ACTIVE
TPA,TYPE A,ACTIVE
TZY,TZYCHUAN,ACTIVE
UFC,UFC,ACTIVE
UKO,UK OFFICE,ACTIVE
ULE,ULEYA,ACTIVE
ULB,UNILAB,ACTIVE
UNL,UNILAC,ACTIVE
UNG,UNION GLASSWARE,ACTIVE
UQL,UNIQLO,ACTIVE
UNI,UNISTO,ACTIVE
UAC,UNIVERSAL APA CORPORATION,ACTIVE
UNX,UNOX,ACTIVE
UPI,UPDATE INTERNATIONAL,ACTIVE
UTX,URATEX,ACTIVE
URK,URBAN KITCHEN,ACTIVE
UTA,UTAMA,ACTIVE
VAL,VALIANT,ACTIVE
VLJ,VALLEJO,ACTIVE
VLR,VALRHONA,ACTIVE
VAN,VANHAWK,ACTIVE
VNC,VANILLA CO.,ACTIVE
VEC,VECTOTHOR,ACTIVE
VNX,VENIX,ACTIVE
VNT,VENTURA,ACTIVE
VRK,VERKA,ACTIVE
VRM,VERMICELLI,ACTIVE
VIC,VICTORIA,ACTIVE
VIE,VIEBIEMME,ACTIVE
VKN,VIKING,ACTIVE
VIG,VILLA GIRARDI,ACTIVE
VIL,VILUX,ACTIVE
VIN,VINTEC,ACTIVE
VFI,VIRGINIA FOOD,ACTIVE
VIT,VITA COCO,ACTIVE
VTM,VITAMIX,ACTIVE
VIS,VITASOY,ACTIVE
VVA,VIVA,ACTIVE
VVO,VIVO,ACTIVE
VLN,VLN,ACTIVE
VOL,VOLLRATH,ACTIVE
VLC,VULCAN,ACTIVE
WSH,WALSH,ACTIVE
WNG,WANG,ACTIVE
WRG,WARUNG,ACTIVE
WEI,WEI WEI,ACTIVE
WLC,WELCH'S,ACTIVE
WEL,WELLINGTON,ACTIVE
WLS,WELSHINE,ACTIVE
WWI,WEN WEI,ACTIVE
WED,WESTERN DIGITAL,ACTIVE
WLN,WHALEN,ACTIVE
WHR,WHIRLPOOL,ACTIVE
WLP,WIL-PACK,ACTIVE
WIS,WIL'S,ACTIVE
WIT,WILD TURKEY,ACTIVE
WLK,WILKINS,ACTIVE
WIL,WILLY FARMS,ACTIVE
WMX,WILMAX,ACTIVE
WSN,WILSON,ACTIVE
WTN,WILTON,ACTIVE
WLT,WILTSHIRE,ACTIVE
WOH,WING ON HO,ACTIVE
WNK,WINK,ACTIVE
WDS,WOODEN SPOON,ACTIVE
WHD,WOODHEAD,ACTIVE
WMT,WOOMTREE,ACTIVE
WOO,WOONGJIN,ACTIVE
WKD,WORKDESK COFFEE,ACTIVE
WKS,WORKSHOP,ACTIVE
WOU,WORLD ULTIMA,ACTIVE
WRI,WRIGHT,ACTIVE
WUS,WUSTHOF,ACTIVE
XEN,XENON,ACTIVE
XIC,XIN CHENG,ACTIVE
YCH,YA CHOU,ACTIVE
YAK,YAKULT,ACTIVE
YLE,YALE,ACTIVE
YMH,YAMAHIDE,ACTIVE
YAM,YAMAKI,ACTIVE
YMS,YAMASA,ACTIVE
YMT,YAMATO,ACTIVE
YGF,YANG FAN,ACTIVE
YRD,YARDSTICK,ACTIVE
YBR,YBARRA,ACTIVE
YSU,YMS USUKUCHI,ACTIVE
YNO,YONBO,ACTIVE
YRK,YORK,ACTIVE
YRS,YORKSHIRE,ACTIVE
YOU,YOUKI,ACTIVE
YON,YOUNGNUO,ACTIVE
YUH,YUAN-HE,ACTIVE
YKW,YUKIWA,ACTIVE
YUN,YUNG XING,ACTIVE
YZY,YUZUYA,ACTIVE
ZNT,ZANETTI,ACTIVE
ZBR,ZEBRA,ACTIVE
ZLN,ZEELANDIA,ACTIVE
ZEN,ZEN,ACTIVE
ZTH,ZENITH,ACTIVE
ZNN,ZENON,ACTIVE
ZST,ZEST-O,ACTIVE
ZHA,ZHAO SHENG,ACTIVE
ZHJ,ZHENJIANG,ACTIVE
ZKT,ZK TECO,ACTIVE
ZOT,ZOTT,ACTIVE
